Key Concept,Distractors
Shadow Mask Technique,"Beam-penetration technique, Color CRT, Phosphor dot arrangement"
Liquid Crystal Displays,"OLED displays, LED screens, Plasma displays"
Video Controller,"Display processor, CPU, Frame buffer"
Display Processor,"Graphics controller, GPU, Scan-conversion"
Random Scan Systems,"Vector Graphics, Raster Graphics"
Hardware Architecture,"Central Processing Unit (CPU), Memory"
System Memory,"RAM, ROM"
Graphics Packages,"Adobe Illustrator, CorelDRAW"
Display File,"Bitmap, JPEG"
Display Processor,"GPU (Graphics Processing Unit), CPU"
Monitor Screen,"LCD, CRT"
Electron Beam,"Cathode Ray Tube (CRT), Laser Beam"
Graphics Controller,"Video Card, Display Adapter"
Line Segments,"Arcs, Curves"
End Points,"Vertices, Intersections"
Scan conversion,"Rasterization, Graphics objects, Pixel, Image representation"
Pixel,"Pel, Picture element, Display screen, Geometric coordinates"
Cartesian,"Infinite, Real number, Screen resolution"
Coordinates,"Screen coordinates, Device coordinates, Pixel coordinates"
DDA,"Digital Differential Analyzer, Line drawing algorithms"
Bresenham's,"Line drawing algorithm, Incremental approach, Integer values"
Circle,"Radius, Symmetry, Quadrants, Center"
Midpoint Circle,"Perimeter points, First octant, Symmetric property"
Ellipse,"Major axis, Minor axis, Four-way symmetry, Decision parameters"
Aliasing,"Smooth curves, Jagged lines, Stair-step effect, Antialiasing"
Antialiasing,"Adjusting intensities, Minimize aliasing, Increase resolution"
Clipping,"Cropping, Trimming, Cutting"
Algorithm,"Procedure, Technique, Methodology"
Window,"Frame, Pane, Viewport"
Point clipping,"Positioning, Coordinate, Localization"
Line clipping,"Segmenting, Trimming, Slicing"
Cyrus-Beck,"Parametric, Intersection, Convex"
Cohen-Sutherland,"Rectangular, Encoding, Logical"
Liang-Barsky,"Parametric, Inequality, Efficiency"
Merits,"Advantages, Benefits, Strengths"
Demerits,"Drawbacks, Limitations, Weaknesses"
Intersection,"Meeting point, Crossing, Convergence"
Parameter,"Variable, Factor, Element"
Boundary,"Edge, Border, Limit"
Parallel,"Similar, Equivalent, Corresponding"
Endpoint,"Terminus, Conclusion, Termination"
Horizontal,"Level, Flat, Parallel"
Vertical,"Upright, Perpendicular, Standing"
Polygon Clipping,"Clipping Algorithm, Geometric Algorithms, Computer Graphics"
Concave Polygon,"Convex Polygon, Geometric Shapes, Polygons"
Convex Polygon,"Concave Polygon, Geometric Shapes, Polygons"
Sutherland-Hodgeman,"Clipping Algorithm, Polygon Clipping, Geometric Algorithms"
Divide and Conquer,"Algorithm Strategy, Computational Methods, Optimization"
Inside-Outside Test,"Visibility Test, Geometric Algorithms, Computational Methods"
Clipping Algorithm,"Polygon Clipping, Sutherland-Hodgeman, Geometric Algorithms"
Window Boundary,"Clipping Window, Geometric Shapes, Polygons"
Edge Intersection,"Intersection Points, Geometric Algorithms, Computational Methods"
Vector Cross Product,"Vector Operations, Linear Algebra, Computational Geometry"
Memory Management,"Resource Allocation, Computational Efficiency, Algorithms"
Coordinate system,"Cartesian coordinates, Polar coordinates, Spherical coordinates"
Transformation,"Translation, Rotation, Scaling, Reflection, Shearing"
Matrices,"Matrix multiplication, Determinants, Eigenvalues, Eigenvectors"
Conventions,"Transformation rules, Standards, Guidelines, Practices"
2D coordinate system,"X-axis, Y-axis, Origin, Graph plotting"
3D coordinate system,"X-axis, Y-axis, Z-axis, Depth perception"
Translation,"Displacement, Movement, Shifting, Relocation"
Rotation,"Spin, Turning, Revolve, Angular displacement"
Scaling,"Resizing, Magnification, Enlargement, Proportion"
Shearing,"Distortion, Slanting, Skewing, Angular deformation"
Reflection,"Mirror image, Flip, Inversion, Symmetry"
Combined Transformation,"Sequential Transformation, Composite Rotation, Multiple Operations"
Matrix Form,"Algebraic Expression, Numeric Representation, Mathematical Formula"
Rotation,"Revolution, Spin, Pivot"
Translation,"Displacement, Shift, Movement"
Scaling,"Resizing, Magnification, Proportional Adjustment"
Shearing,"Distortion, Slanting, Tilt"
Reflection,"Mirror Image, Flip, Reversal"
Homogeneous Coordinates,"Uniform Coordinates, Consistent Points, Equitable Positions"
Transformation of Points,"Point Conversion, Point Modification, Point Manipulation"
Unit Square Transformation,"Square Conversion, Square Modification, Square Change"
Solid Body Transformations,"Object Transformations, 3D Modifications, Spatial Changes"
Vector,"Directional Quantity, Magnitude Indicator, Spatial Representation"
Dot Product of Vector,"Scalar Product, Inner Product, Vector Multiplication"
Cross Product of Vector,"Vector Product, Outer Product, Perpendicular Multiplication"
Rotation about an Arbitrary Point,"Arbitrary Rotation, Point-Centered Rotation, Origin-Based Rotation"
Reflection through an Arbitrary Line,"Line Mirroring, Arbitrary Axis Reflection, Line Inversion"
Window-to-Viewport Transformations,"Display Mapping, Screen Adjustment, Viewport Rendering"
Viewport,"Display Area, Screen Region, Output Window"
Clipping,"Trimming, Cutting, Cropping"
Normalized Coordinates,"Standardized Points, Scaled Positions, Regular Locations"
Coordinate system,"Transformation, Matrices, Geometric properties"
Transformation,"Matrices, 2D coordinate system, 3D coordinate system"
Matrices,"Transformation, Coordinate system, Geometric function"
Geometric transformation,"Transformation, Matrices, 3D coordinate system"
Translation,"Rotation, Scaling, Shearing, Reflection"
Rotation,"Translation, Scaling, Shearing, Reflection"
Scaling,"Translation, Rotation, Shearing, Reflection"
Shearing,"Translation, Rotation, Scaling, Reflection"
Reflection,"Translation, Rotation, Scaling, Shearing"
3D coordinate system,"Transformation, 2D coordinate system, Matrices"
Right hand coordinate system,"Left hand coordinate system, 3D coordinate system, Transformation"
Left hand coordinate system,"Right hand coordinate system, 3D coordinate system, Transformation"
Basic 3D transformation,"Transformation, Matrices, Geometric properties"
Uniform scaling,"Non-uniform scaling, Scaling, Transformation"
Non-uniform scaling,"Uniform scaling, Scaling, Transformation"
Shearing in xy direction,"Shearing in yz direction, Shearing in xz direction, Shearing"
Shearing in yz direction,"Shearing in xy direction, Shearing in xz direction, Shearing"
Shearing in xz direction,"Shearing in xy direction, Shearing in yz direction, Shearing"
Reflection xy direction,"Reflection xz direction, Reflection yz direction, Reflection about origin"
Reflection xz direction,"Reflection xy direction, Reflection yz direction, Reflection about origin"
Reflection yz direction,"Reflection xy direction, Reflection xz direction, Reflection about origin"
Reflection about origin,"Reflection xy direction, Reflection xz direction, Reflection yz direction"
Combined transformation,"Rotation, Scaling, Translation, Reflection"
Homogeneous coordinates,"2D coordinate system, 3D coordinate system, x, y, z"
Rotation about an arbitrary axis,"Translation, Rotation about coordinate axis, Steps"
Reflection through an arbitrary plane,"Mirroring line coordinates, Reflection through xy plane, Origin"
Affine and perspective geometry,"Parallel lines, Affine transformation, Perspective projection"
Perspective transformations,"Single point perspective, Two point perspective, Three point perspective"
Techniques for generating perspective views,"3D view, Center of projection, Multiple faces"
Axonometric Projection,"Orthographic Projection, Perspective Projection, Oblique Projection"
Isometric Projection,"Dimetric Projection, Trimetric Projection, Perspective Projection"
Dimetric Projection,"Isometric Projection, Trimetric Projection, Perspective Projection"
Trimetric Projection,"Isometric Projection, Dimetric Projection, Perspective Projection"
Oblique Projection,"Axonometric Projection, Orthographic Projection, Perspective Projection"
Cavalier Projection,"Cabinet Projection, Perspective Projection, Isometric Projection"
Cabinet Projection,"Cavalier Projection, Perspective Projection, Trimetric Projection"
Orthographic Projection,"Axonometric Projection, Perspective Projection, Oblique Projection"
One point perspective,"Two point perspective, Three point perspective, Axonometric Projection"
Two point perspective,"One point perspective, Three point perspective, Orthographic Projection"
Three point perspective,"One point perspective, Two point perspective, Isometric Projection"
Parallel projection,"Perspective Projection, Oblique Projection, Axonometric Projection"
Perspective projection,"Parallel Projection, Orthographic Projection, Axonometric Projection"
View Volume,"Vanishing Points, Perspective Projection, Axonometric Projection"
3D Viewing,"2D Viewing, 3D Modeling, Graphics Rendering"
Modelling Transformation,"Translation Transformation, Scaling Transformation, Rotation Transformation"
Viewing Transformation,"Camera Transformation, Perspective Transformation, Orthographic Transformation"
Projection Transformation,"Parallel Projection, Perspective Projection, Isometric Projection"
Normalization Transformation and Clipping,"Homogeneous Coordinates, Perspective Division, Frustum Culling"
Viewport Transformation,"Window Coordinates, Device Coordinates, Screen Coordinates"
Canonical View Volume (CVV),"View Frustum, Clipping Volume, Perspective Cube"
View Reference Point (VRP),"Camera Position, Observer Point, Target Point"
View Plane Normal (VPN),"Camera Direction, Viewing Direction, Projection Direction"
View Up Vector (VUP),"Up Direction, Vertical Axis, Camera Orientation"
Projection Reference Point (PRP),"Projection Center, Focal Point, Screen Origin"
Direction of Projection (DOP),"Viewing Direction, Projection Vector, Line of Sight"
Coordinate Systems,"World Coordinate System, View Coordinate System, Object Coordinate System"
Finite View Volumes,"Clipping Planes, Viewing Bounds, Limited View Volume"
Planar Geometric Projections,"Linear Projection, Point Mapping, Projection Mapping"
Combined Transformation Matrices,"Transformation Composition, Matrix Concatenation, Unified Transformation"
Normalized Device Coordinates (NDC),"Device Space, Screen Space, Display Coordinates"
Coordinate system,"Cartesian coordinates, Polar coordinates, Spherical coordinates"
Matrices,"Vectors, Transformations, Scalars"
Screen coordinates,"Pixel coordinates, Display coordinates, Window coordinates"
Local coordinate system,"Object space coordinates, Model coordinates, Mesh coordinates"
World coordinates,"Global coordinates, Scene coordinates, Universe coordinates"
View reference coordinates,"Camera coordinates, Viewing plane coordinates, Perspective coordinates"
Normalized projection coordinates,"Canonical coordinates, Homogeneous coordinates, Standardized coordinates"
2D device coordinate system,"Screen space coordinates, Display panel coordinates, Monitor coordinates"
Camera model,"Field of view, Focal length, Depth of field"
Viewing pyramid,"Viewing volume, Perspective cone, Optical pyramid"
View frustum,"Clipping volume, Camera viewport, Sight cone"
Near plane,"Front clipping plane, Proximity plane, Close plane"
Far plane,"Back clipping plane, Distance plane, Remote plane"
View frustum culling,"Object removal, Occlusion culling, Hidden surface removal"
Bounding volumes,"AABB (Axis-Aligned Bounding Box), Bounding spheres, Bounding boxes"
Light,"Sound, Heat, Electricity, Magnetism"
Electromagnetic,"Gravitational, Nuclear, Chemical, Biological"
Spectrum,"Rainbow, Color palette, Frequency range, Bandwidth"
Radiation,"Nuclear, Cosmic, Solar, X-ray"
Energy,"Kinetic, Potential, Mechanical, Thermal"
Microwave,"Oven, Cooking, Kitchen, Appliance"
Thermal,"Heat, Temperature, Insulation, Conduction"
Photographic,"Camera, Film, Lens, Shutter"
Radiometric,"Measurement, Instruments, Analysis, Quantities"
Infrared,"Heat, Night vision, Remote sensing, Thermal imaging"
Ultraviolet,"Sunlight, UV rays, Tanning, Skin damage"
Photodiodes,"Semiconductor, Electronics, Sensors, Light detection"
Bolometers,"Temperature, Measurement, Heat sensors, Thermal imaging"
Charged-coupled,"Camera, Imaging, Electronic devices, Pixel"
Public,"Broadcasting, Audience, Mass media, Entertainment"
Biomedical,"Medicine, Healthcare, Diagnosis, Biotechnology"
Industry,"Manufacturing, Production, Commerce, Business"
Spatial,"Astronomy, Geography, Mapping, Navigation"
Defense,"Military, Security, Protection, Armed forces"
Electromagnetic,"Waves, Fields, Radiation, Spectrum"
Joule,"Energy, Work, Unit, Measurement"
Watt,"Power, Energy, Light bulb, Unit"
